id	GSM2233086	GSM2233088	GSM2233090	GSM2233092	GSM2233094	GSM2233096	GSM2233098	GSM2233100	GSM2233102	GSM2233104	GSM2233106	GSM2233108	GSM2233110	GSM2233112	GSM2233087	GSM2233089	GSM2233091	GSM2233093	GSM2233095	GSM2233097	GSM2233099	GSM2233101	GSM2233103	GSM2233105	GSM2233107	GSM2233109	GSM2233111	GSM2233113
NUDCD1	4.96501366010143	5.37680757324838	6.3687662708046	6.68356696815294	5.85111841226696	6.30819629846833	6.52918418077723	6.13766095792707	5.97265680731613	5.49751922714195	5.75583419864583	7.12130505800086	5.3187779636855	8.19231806288099	5.04723559360766	5.08017669498478	5.31256565463819	5.1331422124006	5.33894856701242	1.36190201035638	4.89243398327915	5.70970419314081	5.1087509490894	4.95375856000191	5.2014238262229	5.467254523116	5.18468376678278	4.99709343561464
RP11-21L23.2	3.80240865710364	4.68872987867729	4.53277520660166	2.14218001095941	0.965498465333805	2.47831700624195	2.36945817451167	4.61278426523661	3.39069716170185	2.58340159949185	2.77459882879121	1.20495301781572	3.01967014786416	5.00061108888399	4.50078308767084	5.23785526407165	4.46370368769443	2.20438482777448	4.78503047702009	5.22170449297119	4.74758492261501	5.14533606458762	3.00994855377439	6.02060498386844	5.20684409679757	5.31538681037801	3.32894963917408	6.55974125802072
CP	9.07454289902302	10.4897198593128	11.2748126616569	8.67629020511953	9.35847198436115	10.1878903047099	6.68275028125173	7.55451393775613	9.74518099776785	9.9855953739889	10.8369392226112	10.865260176763	11.8447682195134	10.5972985448905	10.9267648882684	11.4215608214807	11.5412267183059	11.6187215598847	11.4143512924021	11.006965843057	10.8937773300947	10.396076376617	11.2011347958621	11.1184644577919	11.2011347958621	10.8937773300947	11.7598127808834	10.7925763177824
CRISPLD2	4.15504226981334	6.74668945891592	4.81341321889174	6.21326171862682	4.79969175709504	5.61200312967004	4.54740397625021	4.29327675825727	6.96517763636091	6.36768411654287	6.56957264602967	4.3578224696236	6.04452617820114	4.62586884376834	6.37651465757112	6.44304219902948	6.52984092805865	6.26874137456903	6.55286876647981	6.48231818975153	8.18804799335252	5.50427357327746	6.29009127617539	5.81735351437798	6.01298362169074	7.85980161639352	6.88031527790817	7.20635669016034
HBG1 /// HBG2	4.02160134286385	4.73543951453847	5.64921339994423	4.3866250407402	3.71044567384683	4.69769076171234	4.05286300268825	3.86883724983681	1.66891874296899	2.18407244187779	5.42940674151398	2.76010686485746	5.30838237318791	1.9459732708695	4.94225755651276	5.76503267084473	7.25561818787823	5.84763297937489	5.69953609937633	3.1813507261044	5.00807107220038	4.32764459725491	5.22459664309827	5.30838237318791	5.42061994586302	5.63346840379548	7.10150113321667	4.88949340930116
AK311120 /// LSAMP	-0.548710376288199	-0.0876238653077519	0.89192832705091	0.246480477172935	1.30950883563329	2.49612142796648	0.256579383696494	2.33006321238504	0.884621177323894	0.424666200476621	0.645504042656207	2.64821204245884	0.438039324640459	-0.299560281858908	-0.711430502059069	-0.486629574251899	-0.195592361992733	-0.376623615673615	-0.45567948377619	1.06977580670805	-0.471071534193172	0.0543523645282519	0.367237920427551	-0.694654789308242	-0.825502268767864	-1.06319382648719	-0.0207585601667973	0.261781522523712
CDHR5	8.20509182941936	5.98280076800752	7.17763843513727	2.6573269572669	0.618909832644494	4.2437225703425	2.21612222977283	5.29040180277199	5.80370523498899	4.78485292356276	6.55529668753929	1.77167181890531	8.07181603360007	2.517249443061	6.58399877206001	6.68237765829536	7.05795848649487	7.28912433872909	5.11276714324597	8.57864247782914	5.77862429885449	6.68053283243473	8.26184447230775	8.22915292928689	7.68105179742709	6.92731236494618	7.85535257598284	6.39557493652683
URB2	5.17554915461502	5.35818859366862	5.54438163493591	6.06061487912758	5.28238747987237	4.67955047315688	6.58714088433603	5.41242352566547	5.84955924828006	5.26050514795238	5.25387400974891	5.01451736175081	4.97577389627904	5.28573954433487	4.87250632700411	4.69903035451777	4.78993207445406	4.94404407919373	3.82118175196931	2.27876360650986	5.14630872833176	5.27654018470943	3.83694645936516	4.65437859453527	4.61837850989928	2.05791438511725	2.07549188340102	5.71406698070244
NGF	2.17488764752797	3.97888747439689	3.92471556946563	3.32546608472197	2.96611400584759	3.29687688692378	3.13254746675926	1.01792190799726	1.63945269138191	3.17444066147043	2.95574676195028	4.73382491443102	2.40185472449975	2.6813555564363	4.4529765965	1.37520496344978	4.87286392963376	4.5648317886249	4.4670115824131	3.71565154175117	4.40864110565343	4.53663700141806	4.41108924500412	4.61879100112426	3.81733088846779	5.22170449297119	4.33223266779343	3.67443105784342
APCS	10.6859752306221	10.9789230754327	11.9783843494443	10.3607894849389	12.5537379901714	9.37246930866823	6.32425163822649	7.27919987155503	10.159621122432	9.70117792784602	11.149086012524	9.92742084134099	9.03636194042981	9.2697361633667	11.6935499188091	11.8159453987433	11.9149393449556	11.929428056252	12.1475055308164	11.0205217713078	11.3324770469888	10.3571996265752	11.5995922980569	11.4789767690541	11.4789767690541	10.9961998658935	12.011631920657	11.157640462926
FNDC5	4.35007336023862	4.33500320191504	3.33373039650473	3.59876148477733	3.40277251855142	2.76448799426397	2.92897371691236	5.44676036024881	3.12625386794635	2.58896443127865	3.10817593762177	3.69315835599153	5.39578110997249	3.30954348207224	6.04791458682952	4.8070017410139	3.87765077785458	3.42203138397715	4.97232340022012	5.11602704103349	4.34008322397175	5.91043970137189	6.59453344320076	6.67098158800114	5.02334682987765	4.187466540209	4.9398574245297	3.38571862715578
AP000230.1	3.30763669127599	2.598878433759	4.57925307368141	3.30489342908614	3.97446922079012	0.932763120775524	4.37270754979353	3.82372943363504	4.36361748974689	2.598878433759	3.52461180561483	3.75621408790071	4.87125988744765	2.34522569734628	1.72255895946992	2.02379394916172	2.05096805075632	1.65125675052699	3.98774313873803	2.08102304134918	3.70591350596754	1.69800675309329	2.51869998501823	1.72584500728437	1.32192809488736	3.58066236328753	0.447201329851885	0.261781522523712
BRCA2	3.17154616800052	4.20876487748489	3.8705198938547	3.76717553526575	5.09535097102756	4.50275794164421	5.07807072993187	3.72626882069702	4.25484094638639	4.35305978516381	3.97174099849695	2.97755251585612	4.17428608619477	3.50219722149437	3.31933111602634	2.58060289062435	3.40707059849419	3.00546415172405	3.49027977749519	3.87181473840978	3.52628497311519	3.08698576086529	2.67445796124745	-1.03125093398444	3.21682832854379	0.862427774850453	3.23800431427583	2.99937190451624
SLC2A2	10.5293422364556	10.0367193453033	9.84764138098258	6.22706938496584	8.38390739499378	9.79465664357102	9.85432623210769	10.5335251101044	9.7821733420507	8.78993618106818	9.03749594416275	8.63674868042368	9.43635771479483	8.44108884185695	10.5017689277033	10.7759935063486	9.99450219448678	9.91102079729057	10.2559769556689	10.3212708024181	9.61506359576248	10.3317465172011	10.6173947624073	10.8547334442333	10.7276186463217	10.0157393129654	10.2828050627428	10.4164646383449
LOC284889	7.11697140640256	2.6723579876896	3.61750769629451	3.977566144122	3.16889413677474	5.67213738040109	4.19092304722626	4.02076115612174	-0.201998874836944	1.6516667818047	1.63088247431057	6.03234621609218	5.91918895661442	6.83940236303331	-0.0658879356564571	0.229001878235431	-0.195592361992733	2.49298892138289	1.79898859613993	2.27876360650986	0.217230716220669	1.40323525516686	1.50431771852415	4.32306732498111	0.859874917343626	4.03517539153795	3.79737743593974	0.00450139223494053
SALL4	1.91326556803233	4.09272190984155	5.00009392240105	6.33077024106468	5.44240368151579	5.56608304041841	5.79745772789081	4.82147030464673	6.69066319104663	4.27991342513402	5.91098957796959	5.71956809744267	4.64754408446539	5.24880923527995	3.30261250354823	4.47205446464438	3.79082167556576	1.23074100262691	4.67508332400181	1.76243740878739	1.30985526258679	4.506435643139	1.50431771852415	4.60067931374617	5.00689373347654	2.3403927137427	3.85218360711904	5.17815330146412
HMGA2	3.38062666341743	2.13847904278155	3.19084371585931	5.46435922349945	5.42500090162895	4.79113290640523	5.5644383570329	2.68634488825531	3.39959836912011	2.67527379284424	2.46962102834211	5.28049598698466	2.57428587404831	4.95273107967804	1.70193624423526	1.82361997642039	2.12947928863303	3.46569725556826	2.09934482825123	2.96218175486287	2.60641402598246	3.02936523798802	2.89229464255381	2.79920544999433	2.31711107858959	2.49030015504748	3.41002929857341	1.97945922155916
SERPINE1	4.99074459478709	7.11601908176169	6.06518786542003	5.86821404780609	6.8342377679614	6.65928603458131	5.7959256199041	6.20820299885063	6.71990540282608	6.90911089420601	6.76297676035459	8.18328091094542	7.45590889803467	6.5422806239494	7.04220244136813	8.31183595338157	6.80911964092435	7.78612678193477	9.08920044149288	6.24150427088007	8.4294490866498	6.73161885413146	8.60400489459493	9.28441741032339	6.1726453787931	8.61064314248291	7.67925743644259	7.90856739782713
LOC101927699	5.57166236503658	3.73966811454603	3.68712069270875	3.89614496320717	5.3519618758422	4.87638831148534	5.47456931093022	4.01146688585996	4.41370563508494	3.88707261683387	4.64227522928393	5.44897172526474	4.10135030476994	2.50598163959455	3.72180880318987	3.84923423241572	1.93180685538541	2.98705011320799	4.0893335521089	3.1320563808229	3.70591350596754	3.91932305497111	3.37604888186722	1.81213145399794	3.1065032970458	4.07998248553626	4.19916919323902	2.16379581283717
EMX2	1.84010350439732	2.37031376454479	3.12534845069709	2.8408348601166	0.256579383696494	0.0572439518344758	2.33526273338897	2.66986366607048	-0.711430502059069	1.1849225584682	3.36421388169533	0.996130453538348	1.60188042093081	1.67545303466906	-1.44278248976175	-0.732678235763108	3.23739105142528	-0.559427408614019	-1.16349873228288	3.1723560686474	-0.471071534193172	0.518175409509954	-1.18676851160573	-0.0578206543883423	-1.05603403491433	0.862427774850453	-2.08488889758651	-1.02599520853294
CTC-459F4.3	6.72828092125946	2.70347516599193	5.66493821595758	3.64983293978845	4.84398982416858	5.54839671442543	5.1528377151235	4.93195957894231	5.14638562638108	5.08774208742302	5.18482382559708	5.43880505131978	4.61299007357847	6.02571699942101	2.76583780172401	5.04890977938657	4.89609593623635	5.02467005948115	2.30349954452473	4.24387668118374	3.44103465888595	3.74167563881908	3.48792805869018	4.69316333536071	2.87020030052335	4.50026333905833	1.51457317282976	3.49939034712335
ARHGAP28	3.09820256865114	3.83440182183616	3.02982620576341	4.44021661942031	1.71933992348437	1.54887694059779	2.12121280057047	1.03618931527119	2.64110557875869	2.78327578852528	3.16289479937478	2.70853124334448	2.29257142849843	3.2576302920741	1.18822381363893	2.19208141509448	1.08887655526928	2.7087175464011	1.87294598986371	1.96160128069747	1.89597191940221	0.0543523645282519	3.13532573777628	0.326729081151183	1.01834591829889	2.04522660353671	0.932763120775524	1.01112074022952
ITGA2	3.92771589114524	4.41910142599717	5.2467683540119	5.8711197789815	7.24889139859111	4.15032410977093	4.82625294859804	5.47073827117999	4.88460622686661	6.86852599743264	7.14184135321869	5.35362260319999	5.32722429389499	4.56660135725941	4.33019129445081	3.29881539488754	4.28934925297484	3.64285282439314	4.56470116067055	4.45532722030456	5.00709402896811	4.58713992735874	2.28700432345875	3.83947576152447	4.11847146554147	5.50376950096549	4.11284904073741	4.33982879909799
GABRP	4.38054970722232	3.81291989713009	0.0605415419350509	3.80441071122963	0.256579383696494	3.75814070918698	1.8717380609921	0.930512074850134	3.21288427102922	4.56470116067055	0.574908836057233	0.668378508908794	4.60666782548013	2.37280288704094	5.39770315147126	3.63202580685559	4.41438322721476	4.39185438450996	3.28533301414361	5.57618333214775	6.32407408127795	2.92873126184552	6.31516951416906	3.79888987945161	3.29637000044378	7.72132098072944	5.60493825256915	1.90852374384232
MBNL2 /// MBNL2	6.55682601419999	7.82110965902871	6.31479703295922	8.49944611104223	7.87177535270427	6.0681352737956	6.94601923890777	8.25990127570129	6.33503040324681	7.66972660623018	6.19423330475112	6.13696670698434	6.4781994961856	5.79468871653956	8.40467401623483	9.19763942145591	7.68162776149823	7.4553908297947	8.6881430918814	6.86216538456496	8.93115081428202	8.2135564559609	7.8215782258746	7.32420064196353	7.48580595346762	7.65547961269257	7.32076583921225	9.08751335489825
FLVCR1-AS1	6.26651662351734	4.88608225214522	4.03973505791728	5.43613978054004	4.82942806173709	6.28490512944837	7.08128073033834	5.80333160785859	5.4934361387126	4.70639569893975	3.78787147319053	6.34779113082811	6.44225287820786	6.27141411462198	4.70806896455573	4.77081960922088	0.996130453538348	5.45617139040184	2.79855666075097	3.32685745954932	5.01025120608921	5.03368781220012	2.43438994288255	4.70870620171056	4.15561336077978	4.53410830493179	4.70096878859839	4.77874050091336
ABHD15	3.7693813468669	6.35040042431507	6.62865173008996	5.21203459064842	3.03744049668288	5.2423422356815	4.53638388176083	4.05926977123779	3.74755364043373	5.58370974531183	4.34459181501169	5.28807051603386	6.60944260554846	6.22319152480472	6.00387267305673	6.34772470449666	5.97621534654916	5.60933706437712	6.33863611456944	6.7347823613512	6.10866757418723	5.46354480790041	6.56299510819005	7.30591570861109	6.87395688928309	4.9083043817204	6.42184543101263	7.0241744854054
LINC00665	3.21839371107679	3.08805282218064	4.78558346718349	5.99122979913833	4.79969175709504	2.67633995390841	3.76292095913382	4.84181270447869	4.69219203315157	5.18623756529953	4.41049778997977	5.18218386373047	5.23407151806352	4.4156003229419	3.53192724187696	3.04292718405441	3.59509582588935	3.3227350913668	1.70418691155218	4.10548203321478	3.05097841245118	4.69636565699194	3.6793795597625	3.68416417842826	3.52748126155633	3.51307710409172	2.62309762960793	3.12798695369068
TMEM201	1.71777432914637	4.39173896697813	3.96852182490466	5.20159185662647	4.76608240935938	4.17729975055124	5.40425356469891	4.79148187186292	4.51352082398028	2.38105259668295	4.66111639276518	5.28238747987237	4.70009287475899	4.81693487758835	3.51840774505216	2.02379394916172	4.15556173436347	3.20431961132331	3.47098224473928	2.43576351103188	2.24745738583639	4.53048251332506	2.97665822027131	2.34245992801872	3.28006371829992	3.81982021993413	2.39392769681826	3.6120996974248
UGT3A1	5.83489118498067	6.85200924432792	7.99665842484868	4.32545078743226	5.57678844729434	6.0100121350632	8.22562675694278	1.91770831628175	4.22980305121667	5.62730477799059	3.03744049668288	6.12918732481467	5.69858986734231	3.08458063580438	7.07154057345773	7.47258806565298	7.46943831980764	8.56683327092347	6.86891182496821	7.01687990342345	6.47430083157812	5.96419399037903	7.60337617340387	7.48511961987836	7.0438800806952	6.06842002244821	7.79321253854991	6.45276093089815
NCAPG2	3.47047488833164	6.64773251418823	3.67269472765819	5.40382158090739	6.49446173642671	5.94027863501045	6.92616713284024	5.55547108150028	5.01868503683859	5.96855000344042	5.04114134296397	5.40358626771429	5.94508914592672	6.04693475737232	4.63411487275996	3.4964258261195	4.97493233038759	3.16944697314048	5.11129449974679	4.33827371229972	4.78409885669038	5.34550029322168	4.62809012496337	4.54053083465134	3.06504879766372	3.81982021993413	4.94287152439299	4.73377903966002
RARRES3	6.47864636866427	7.80825929405173	7.58129766416023	8.12779543491453	6.54740718967269	6.82814728091056	6.56459048050887	6.06842002244821	6.1912108279427	9.61243971809889	7.65039841947509	5.73859001144453	9.24413019169625	7.19297084509356	8.63923124790113	8.38759015568012	8.61064314248291	8.80401775214545	8.60292747795063	8.33443957065952	9.02778441787084	7.19507091258671	8.28835457938616	8.33484243385084	8.28489258201687	7.80882496884917	9.11394397299112	8.32862898429711
AP001605.4	0.75183094373013	-0.394573396719128	0.400798132495587	3.30489342908614	-0.0181473467102594	0.768562439060545	0.433595376006215	0.448145811090782	1.17677867248337	-0.0958600154075162	0.645504042656207	0.0979317878483247	-0.848512246814364	0.783356869117366	0.881571400889731	2.40249294908214	1.41555265552102	2.84333784511378	2.02806391841788	2.68221209683472	1.40647836104169	0.165337731946661	3.03002859944847	1.16073582998765	2.27745346574676	2.5009841080818	0.153805336079035	1.6784743866443
DACT1	0.987060944292502	5.33031723072807	2.02616771436717	4.61828760614397	3.67299291743524	1.16629461666761	2.94169508850254	3.16407367153286	5.38485362998571	4.56076563629441	4.49419462040815	0.782108970898493	2.79546764141203	3.23726687741509	5.20701847171639	5.16995521629983	3.18906476262675	4.20957637009741	4.64075335114523	4.66401377174348	5.64028281529411	4.9925029376068	4.01193538149895	4.54940383256664	4.36802205205393	6.2077975870541	5.94330182434746	4.51309590855101
