Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
C4orf46	1.06489160832493	3.5181181915648	3.36632962579001	0.0021629409819587	0.0201874491649479	-1.74351508811878
PDRG1	1.06548819541461	5.67057355299085	3.46244902060672	0.00168326971970021	0.0168613730014263	-1.50775257406498
MYH4	1.06624864369799	2.3749962205293	1.51205906411922	0.141347410608565	0.354272282343717	-5.46491911874823
ARHGEF39	1.06703821019729	3.43254769808143	3.98664688092554	0.000415181502261803	0.00616871063373191	-0.180758547121924
ZBED8	1.06836660677436	4.34788661720132	3.30388346991388	0.00254255398725327	0.022720695205242	-1.89517867801117
WBP5	1.06957282552965	7.8712244957835	3.92367016034868	0.000492407185638326	0.00699783504907155	-0.343299632426954
GXYLT2	1.0703479795569	4.0828460270785	2.46235263872965	0.0199888292318841	0.0965572527282631	-3.79216741907313
ZC3H3	1.07105352419476	3.90080960322034	3.43374859599059	0.00181453508905879	0.0178597995650863	-1.57843363917115
STMN1	1.07130651068431	4.83624001981674	3.75574138925083	0.00077377082368727	0.00972057940752745	-0.772942172319571
TNFRSF19	1.07166015633322	3.56281299410819	2.08887605108507	0.045611254411044	0.17006605956686	-4.52098221003322
SLBP	1.07179881049364	7.1301639600515	6.02354143772646	1.49684660376756e-06	0.000102045890204675	5.23899035353598
TRMT2A	1.07189426022818	4.08076306136483	2.22585212326622	0.0339626487102785	0.138753082797594	-4.26335140219347
CEP72	1.07337789565018	4.51758900542447	3.38359272942642	0.00206803315019185	0.0196525816939444	-1.70137469449316
LINC00690	1.07391793645642	0.562609186755546	2.08040932244547	0.0464359583344247	0.172212825611112	-4.53651735732092
BC036311	1.0745834079372	0.968463481000669	1.80911032240952	0.0808186094738285	0.249031009409727	-5.0088393096329
RHEBL1	1.07465071579531	1.75965732682635	2.98985368143029	0.00564215470033244	0.0394856520013008	-2.63767803696149
PGLYRP4	1.07496603479994	3.46744993846381	2.03070784321736	0.0515485034747896	0.184510850970484	-4.62677136233142
LOC644656	1.07521207352232	3.67854559568463	2.23139275846734	0.0335534438229891	0.137823436730126	-4.25268614282814
HIST1H4H	1.07559371570468	3.88566034694642	3.30084269113743	0.00256258871308013	0.0228476446291299	-1.90253233174311
RFX5	1.07588346915895	6.28866928466897	4.16799924421776	0.000253313275779323	0.00431191631832578	0.291044668614362
LOC100131662	1.07601158787848	1.63329004641174	2.0442951317647	0.0501037547387711	0.180967514321114	-4.60225856580354
IARS	1.0766356428656	8.72685508169315	5.58181787810861	5.0544110583138e-06	0.00024511288266297	4.06156520282548
UPK1A	1.07671365195915	2.40451048207263	2.11303884822141	0.0433286511899528	0.16421042152557	-4.47639369476155
IQGAP3	1.07698451089162	3.67784199171803	4.56740041301183	8.43716388755534e-05	0.00191361711316588	1.3453377219273
IGFBPL1	1.07709065277246	2.63206882424397	2.16337101921615	0.0388974008810103	0.15247781145356	-4.38232279176919
LINC00665	1.07713737305907	3.91034618971061	3.52215231266877	0.0014389930595474	0.015064294386489	-1.35997553699757
GDAP1	1.07742893578988	4.35246906401007	3.07054973829424	0.0046097810038557	0.0340262265649061	-2.45032077461251
NR2C2AP	1.07823747126996	5.44369663900021	4.63311466802223	7.03380715758384e-05	0.00166769298736262	1.52027448391064
BC047615	1.07872730424665	1.14807317906208	1.6501058630727	0.109719054951813	0.302744271758169	-5.2613297766884
APOA1BP	1.07933330955632	8.67810938639784	5.19098682301483	1.49430601493793e-05	0.000534947906717506	3.0137587319256
DUOXA2	1.07943735272176	3.29954164418277	2.0663094242652	0.0478386953765825	0.175643341785856	-4.56228551196873
FAM153A /// FAM153B /// LOC100507387 /// LOC102725213	1.07994784000084	3.05760458905049	3.02353397845989	0.00518705906921463	0.0373053871874985	-2.55978830728494
CDH10	1.08082142703852	4.22350815516049	2.43281600253202	0.0213863032422882	0.101188061206723	-3.85274042358312
DUX1	1.08114644677549	3.0766664277578	2.50230376452065	0.0182318923172924	0.0907005522828245	-3.70948809444165
