id	GSM2712004	GSM2712005	GSM2712006	GSM2712007	GSM2712008	GSM2712009	GSM2712010	GSM2712011	GSM2712012	GSM2712013	GSM2712014	GSM2712015	GSM2712016	GSM2712017	GSM2712018	GSM2712019	GSM2712020	GSM2712021	GSM2712022	GSM2712023	GSM2712024	GSM2712025	GSM2712026	GSM2712027	GSM2711996	GSM2711997	GSM2711998	GSM2711999	GSM2712000	GSM2712001	GSM2712002	GSM2712003
TCF19	6.29277154233631	6.59412763489583	6.5227446687128	5.33860589947917	5.77593904304315	5.59458359878472	6.31730273958333	5.00207645390625	7.27622158333333	6.62045257217262	5.53788880729167	8.6887030734375	6.24366290052083	6.42485337760417	6.74738214427083	7.30401557886905	5.06150399069941	6.45043518534226	6.93169928645833	6.6198201015625	6.46010700520833	7.2825740234375	5.68718782380952	3.99475558630952	4.35734744456845	4.03012083965774	5.09466016666667	4.66253724107143	3.88979366145833	4.31143882005208	4.423451659375	4.39902788203125
SLITRK3	3.6844791375	3.14785830572917	3.22999485208333	3.51785732291667	3.1530725703125	3.06435411458333	3.07716865520833	3.25672572604167	4.57825972395833	3.72041716547619	3.21779008333333	3.0777083359375	3.50812828489583	3.42251873400298	3.16866624308036	3.52559750104167	3.20043146614583	3.99982793619792	2.983628334375	4.7233626046875	3.2359306546875	2.87426103715278	3.09761493697917	4.16095588541667	5.39708872239583	4.45018599640377	3.59867615729167	5.70509347537879	5.647300625	4.50556136458333	6.74166810639881	3.63047810416667
TCEB1	7.93445742916667	8.23010426331845	7.658151815625	7.24758922135417	8.85112535639881	7.423174375	7.41517231666667	7.74372708072917	8.274979975	7.93445742916667	7.71875358333333	7.70260570833333	7.83600447879464	8.23465978645833	8.2667374765625	7.04139678385417	8.41566893697917	8.22384111979167	8.12191870833333	9.03742909270833	8.525923734375	8.7063859375	7.94222746875	8.28165673697917	7.2178359468006	6.77311267447917	6.65881824869792	7.02765164951299	7.18371002083333	7.11026771168155	6.9472769235322	7.22437769791667
LIME1 /// ZGPAT	7.3143141421875	7.09671777239583	7.91383264791667	8.61334920052083	6.97544235677083	6.47877164322917	7.890935003125	9.08690244010417	7.01012119010417	6.55874939360119	6.84985006659226	6.912865765625	9.2360290859375	9.15778130654762	6.7191245	6.09961527291667	5.90197482482639	8.33061641666667	9.01266984114583	7.81108854296875	7.93932938020833	7.07256098854167	7.18737896927083	6.29433121302083	9.68159151041667	9.7829000390625	8.7659723359375	9.51248882291667	10.1632108515625	9.85011000260417	9.44671818229167	8.7804490234375
MAT1A	11.1675524817708	11.0663877916667	9.6793850234375	10.8348895260417	10.145015959747	10.6220723192708	10.2971195177083	10.6220723192708	9.23063467447917	11.2560991875	11.148403375	9.96803588020833	10.2773991135417	11.123711265625	10.1596737723958	10.93014515	9.79629452083333	9.10330657447917	9.61996638229167	8.98491423177083	9.93064456510417	8.1500036796875	10.7029429166667	10.3107072291667	11.9582339270833	11.8023746614583	12.221419625	12.012574671875	11.8023746614583	11.9999495729167	11.9999495729167	10.8813651510417
CLRN3	3.27491154166667	3.63196257120536	6.63784666354167	4.86742377447917	3.2371388515625	2.97179104166667	9.16907140104167	3.53133834635417	3.25915581744792	5.32499168556548	5.70276238697917	3.74884511458333	4.96859490572917	5.37362325625	6.20908243385417	7.20822335677083	5.34764029791667	4.95608485677083	5.24772796354167	7.43215778645833	2.99297557604167	3.64270333854167	6.70133619010417	2.5785658046875	9.16418028125	9.32854673697917	6.6574872421875	8.26562425260417	8.64379470863095	9.16418028125	7.97462946875	7.47547259270833
PLSCR4	6.75789261458333	6.740530053125	6.98014231510417	7.61266767786458	6.6928215625	8.798634265625	8.6801324875	6.83906575989583	8.08927816979167	6.49733565989583	7.50141202291667	6.84573592857143	7.38606512760417	6.60474158489583	6.70278723043155	7.27479288541667	7.60350535677083	6.20555227083333	6.17569826227679	6.7811583203125	7.73190078125	6.45902122421875	8.19528846744792	4.30553196465774	9.04533995833333	8.68628776822917	8.84867408965774	8.72529355208333	8.96499952723214	9.11103185416667	8.996504471875	8.61593148958333
GPD1	5.08711984479167	5.60784638854167	4.7313490765625	6.113654046875	4.77557830989583	4.39612630989583	5.1697421890625	5.36194973671875	4.53485270190972	4.916704525	5.00077356785714	5.29205265052083	7.04523804166667	5.44069140364583	4.81583783296131	4.83131370052083	4.726347125	4.66637849479167	5.51489572470238	5.2115753078125	5.01079129947917	4.8065455734375	5.49962977309028	6.81232284933036	6.43185125	6.56602160026042	6.54340188645833	6.342200684375	6.95121636197917	6.55314428385417	6.44879554635417	6.32964491770833
KMO	4.910373125	5.6110796811756	5.26997084263393	8.65791676822917	7.20349049479167	7.560987	6.77904210364583	6.56549998418899	4.88771755364583	5.64238006145833	4.83435243236607	7.5998113203125	6.39258912621528	4.57226399888393	5.56390720286458	4.49879983839286	6.83638734895833	4.30709196726191	5.82971105885417	6.60799830208333	5.44593849322917	8.33496764583333	7.239189203125	3.00942628229167	8.85528362395833	9.06158336011905	8.58481719791667	8.8743495	8.64765793229167	8.76371398177083	8.4523678984375	8.16391792447917
FOLH1B	8.022263125	5.98544275249256	5.47665495424107	7.5412060546875	4.77797520208333	6.45464217083333	6.38132874244792	7.20484134114583	4.46435755	4.02445226041667	6.20666933463542	7.11204190833333	6.706298921875	5.66815516666667	5.488880378125	5.131642325	6.94985382291667	4.60634397447917	6.20525143854167	7.10202109244792	5.31713902552083	3.63388729583333	5.99504378645833	4.38934633854167	8.34979863802083	8.79047658333333	7.01883498541667	8.7063859375	8.47147763802083	8.6647024453125	7.85024388541667	7.80426012552083
SPAG5	7.02142026770833	7.48256319921875	7.68511365625	5.97230642291667	6.60350023307292	6.62609741443452	7.38372922433036	6.75886511666667	9.17925218377976	7.76499376041667	6.8812927171875	8.09434718177083	7.49242748854167	7.41517231666667	7.19441944010417	7.816578640625	8.37628011458333	6.54877516197917	7.6783154609375	8.41566893697917	7.29759186197917	6.98425984791667	7.35077292708333	7.34804621666667	6.46481971331845	5.89612018958333	5.96368533854167	5.67311250610119	5.90837820833333	6.27789858072917	5.83611478333333	6.06480101994048
RAB11FIP4	5.79911924254808	6.48329640520833	5.07963266666667	4.767225696875	5.65863677135417	5.30603674010417	5.31733916875	5.23223215989583	5.88766169947917	5.19545318489583	6.06879510143849	6.19962276770833	4.99335681432292	6.0689554078125	4.94825752734375	5.55177837016369	4.83480436354167	4.9366092046875	4.790983546875	5.40519809559295	4.961338640625	4.5834036921875	4.68950185037202	4.57035777890625	4.25568564713542	4.12790620963542	4.216856128125	4.35905891279762	4.13113557760417	3.97717790104167	4.252606259375	4.43119167842262
MCC	4.67234030989583	5.02490771276042	4.01376555	6.07103083556548	6.15425204479167	5.37790897916667	5.43986430104167	5.67375554285714	5.6475260953125	4.95631716979167	4.48822141004464	6.51935782395833	6.340371484375	3.61692673311012	5.99400835052083	6.10160136049107	6.09308990736607	3.96661559947917	5.41769458854167	3.71372603645833	4.45508362227183	6.04082814270833	6.22131058125	3.25539721956845	7.1680006875	7.194892753125	7.209726203125	7.53106369114583	7.17903254817708	7.251634046875	7.32832143229167	6.28771650706845
RRP15	7.19263528246528	5.96368533854167	6.4241830453125	5.69182805550595	6.4460262140625	6.30506189166667	5.85429895424107	6.151385734375	5.97343888958333	6.59094973958333	6.32964491770833	6.06983905416667	5.93910821041667	6.26146872083333	5.48996151703869	6.51145271622024	5.94325776822917	5.45537761319444	6.84093532552083	7.08351075729167	6.11547033854167	7.016283284375	6.2491777234375	7.79303146354167	5.60348423541667	4.84659236979167	4.69241861979167	4.98301636971726	5.08999026614583	5.4237194296875	5.72409976614583	4.9086817265625
GHR	7.53041492447917	7.70585685520833	6.42244705729167	9.66087960677083	8.87341996354167	8.394263515625	10.50273653125	9.0256720546875	8.60684216666667	4.55078673489583	8.525923734375	9.60629250520833	8.86057443854167	7.75450959375	9.26093033854167	6.6928215625	8.90196049479167	5.76195061004464	9.25237709635417	6.94402321242559	6.84805799479167	8.44127181770833	9.66286574739583	3.96853540104167	11.3400930989583	11.3711577239583	11.3543427942708	11.2997924895833	11.2997924895833	10.6144744697917	11.1796134739583	10.6838085442708
LOC100509445 /// LOC728715 /// OVOS /// OVOS2	5.74683909583333	5.304955515625	6.79373681912202	5.02806910364583	5.88153126302083	7.56621984375	6.59057991845238	6.23105366666667	8.25719195364583	6.64088824791667	7.06887532760417	5.85069503333333	4.89041101796875	5.42718102447917	5.24329079918155	7.64230275520833	4.84566942864583	5.57046669635417	5.7207434421875	5.66625353735119	7.264774153125	5.75004352604167	7.15109107291667	4.97224389322917	3.63047810416667	3.85610395364583	4.066573265625	4.71403072864583	4.22656461547619	3.1044664609375	4.66597420245536	4.92642543783144
SORBS2	6.05665376443452	5.48996151703869	4.28579636763393	6.38280068504464	6.83229391845238	6.81375347834821	5.74980765885417	5.30303964709821	5.54816768890016	6.36080312537202	6.49234512358631	5.95533691599702	6.42889796502976	5.89635361644345	6.54813955059524	6.80623105684524	6.31504379769345	4.900204165625	5.90079090736607	5.64546810252976	5.22214608876488	4.16145701934524	6.15842816927083	6.46333603861607	7.41177366183036	7.42469693080357	7.36281455208333	7.51216757477679	7.66336608311012	7.74802186532738	7.55096669047619	6.4433443890625
CYP2B6	7.06305284895833	6.1109126859375	4.732494690625	7.87110129583333	5.34267706145833	4.21912405833333	6.59670298333333	7.21199866180556	4.2085226875	6.31573920052083	6.25397158125	6.81728794704861	5.48613829166667	4.48698440865575	5.42513092708333	5.12830717447917	4.33592419878472	6.9764341015625	4.90458970625	4.4732541875	5.56077149769345	3.66062600520833	6.88212889583333	9.75354582291667	9.25794558333333	8.91361551302083	8.201616590625	9.27220144791667	8.666263265625	8.01266113385417	8.43357787604167	7.99937553333333
